"","P71","P71C","P72","C1","C2","C3","C4","C5"
"Label","BCKDK","BCKDK","BCKDK","Control","Control","Control","Control","Control"
"Pyruvic acid","-0.5356527","-1.6334670","-0.4679144"," 1.0189083"," 0.6674218"," 1.0345972","-0.8383075"," 0.7544143"
"Lactic acid"," 1.9643756","-0.8752484","-0.6396322","-0.6788447","-0.6721595"," 0.1011482","-0.2010229"," 1.0013838"
"2-Hydroxyisobutyric acid","-0.88182294","-1.08065601","-0.01138619"," 1.28902953"," 1.58617222","-0.57142935"," 0.33301771","-0.66292497"
"Glycolic acid"," 0.4394005"," 0.2290348"," 0.2977143","-0.7164486"," 1.8897206","-1.2294903"," 0.1176860","-1.0276173"
"Alanine"," 0.35996691"," 0.16185012"," 1.66202503"," 0.66363780","-0.10573033","-1.11047671","-0.08535458","-1.54591824"
"2-HydroxyButyric acid","-0.8977640","-1.4955588","-1.0983590"," 0.8826117"," 0.4301848"," 1.0476971"," 0.7227660"," 0.4084223"
"3-hydroxybutyric acid/3-hydroxyisobutyric acid","-0.7212122","-1.3486109","-0.6430195","-0.3103960","-0.3142908"," 1.5826407"," 0.9404283"," 0.8144605"
"2-Hydroxyisovaleric acid","-1.0636713","-1.7177998"," 0.8031996","-0.1436218"," 1.2436520"," 0.8060806","-0.1266627"," 0.1988235"
"3-Hydroxyisovaleric acid"," 0.171879544","-1.203517721"," 0.002370414","-0.888862437"," 1.802192683"," 0.284251941"," 0.749226841","-0.917541266"
"Valine","-0.4102192","-1.7101732","-1.0537746"," 0.4717904"," 1.0136764"," 0.1155603"," 1.1710971"," 0.4020427"
"Urea"," 1.0628317"," 1.3756547"," 0.6899346","-0.6905944","-0.9285916","-0.1119226","-1.4648098"," 0.0674974"
"Ethanolamine"," 0.24931933"," 0.86596482"," 0.05186056"," 0.07804835"," 1.75785460","-0.99875379","-0.79842546","-1.20586840"
"Leucine","-0.5730072","-1.5535894","-1.2653764"," 0.4982586"," 0.9704659"," 0.3908277"," 1.0306688"," 0.5017521"
"Glycerol","-1.32409906"," 0.59141889"," 0.25054115"," 1.34083046","-0.21107835","-1.49833863","-0.01335611"," 0.86408165"
"Isoleucine","-0.5496506","-1.6149107","-1.0738739"," 0.5001763"," 1.2222330"," 0.2357750"," 1.0386237"," 0.2416271"
"Proline","-0.5458012","-1.2171995"," 1.6169005"," 0.4195264"," 0.9613628","-0.9836926"," 0.3778218","-0.6289181"
"Glycine","-0.6992407","-0.3768678"," 0.2847804","-0.4380502"," 0.9403513","-1.0835081"," 1.9304276","-0.5578925"
"Glyceric acid"," 1.27356619","-1.73328394"," 0.69268770","-0.19290630","-0.02628489","-0.52420965"," 1.10696962","-0.59653874"
"Uracil"," 0.78954881"," 0.86650471"," 1.01385032","-2.04193293"," 0.17497948","-0.50129427"," 0.07388034","-0.37553646"
"Serine","-0.8285766","-0.5986363"," 0.2758077"," 0.3781461"," 1.9838775","-0.9801578"," 0.5223414","-0.7528021"
"Threonine"," 0.08450778"," 0.38117209"," 1.60607773"," 0.13794824"," 0.67626369","-1.31950221","-0.14146956","-1.42499775"
"Malic acid","-1.01995628","-1.61599420"," 0.09467122"," 0.69896326"," 1.27141614"," 0.04636553","-0.47750400"," 1.00203833"
"d-Threitol"," 0.06014747"," 0.58585028","-0.70912939"," 0.04889523"," 1.57110099","-0.83933583"," 0.80691992","-1.52444867"
