"","FC","log2(FC)","raw.pval","-log10(p)"
"2-HydroxyButyric acid",0.073877,-3.7587,0.00011544,3.9376
"Mannose",0.38391,-1.3812,0.00020878,3.6803
"Leucine",0.15393,-2.6996,0.00061646,3.2101
"Isoleucine",0.18189,-2.4588,0.0027539,2.56
"d-Galactitol",0.30561,-1.7102,0.0037856,2.4219
"Valine",0.25322,-1.9816,0.0043187,2.3646
"d-Sorbitol",0.5513,-0.8591,0.0052588,2.2791
"Urea",2.0565,1.0402,0.0057219,2.2425
"Glycerol-1-phosphate",0.60283,-0.73018,0.0097477,2.0111
"d-Fructose",0.5696,-0.81199,0.015344,1.8141
"Citric acid",0.62524,-0.67753,0.021182,1.674
"3-hydroxybutyric acid/3-hydroxyisobutyric acid",0.063728,-3.9719,0.032531,1.4877
"Galactose",1.548,0.63037,0.035798,1.4461
"Uracil",1.6667,0.73697,0.036994,1.4319
"Pyruvic acid",0.049238,-4.3441,0.04065,1.3909
"a-ketoglutaric acid",0.24306,-2.0406,0.042935,1.3672
