"","FC","log2(FC)","raw.pval","-log10(p)"
"Mannose",0.58162,-0.78186,6.1211e-05,4.2132
"d-Galactitol",0.19534,-2.356,0.00019635,3.707
"Leucine",0.50635,-0.9818,0.015174,1.8189
"Glyceric acid",0.3359,-1.5739,0.018044,1.7437
"Phenylalanine",0.33162,-1.5924,0.018416,1.7348
"Hypoxanthine",0.51643,-0.95335,0.021351,1.6706
"d-Sorbitol",0.61964,-0.6905,0.023295,1.6327
"Alanine",0.67856,-0.55945,0.028191,1.5499
"Galactose",1.4625,0.54844,0.044074,1.3558
"3-hydroxybutyric acid/3-hydroxyisobutyric acid",0.080767,-3.6301,0.048325,1.3158
