"","C1","C2","C3","C4","C5","P73","P74","PFAKE_EEM"
"Label","Control","Control","Control","Control","Control","EEM","EEM","EEM"
"Pyruvic acid"," 0.2597015","-0.2256418"," 0.2813653","-2.3047993","-0.1055200"," 0.6058424"," 0.7867005"," 0.7023515"
"Lactic acid","-1.1671420","-1.1609876","-0.4490817","-0.7272599"," 0.3796741"," 0.7554587"," 1.3216977"," 1.0476407"
"2-Hydroxyisobutyric acid"," 1.3538155"," 1.6784835","-0.6789819"," 0.3092451","-0.7789524","-0.5834211","-0.6705296","-0.6296592"
"Glycolic acid","-0.3666528"," 2.1995593","-0.8718286"," 0.4546931","-0.6730507","-0.7247982"," 0.1937497","-0.2116719"
"Alanine"," 1.46044990"," 0.42750763","-0.92144999"," 0.45486380","-1.50606733","-0.81522881"," 0.83113362"," 0.06879117"
"2-HydroxyButyric acid"," 0.2085960","-1.4379719"," 0.8094101","-0.3731481","-1.5171746"," 0.6878890"," 0.8514478"," 0.7709518"
"3-hydroxybutyric acid/3-hydroxyisobutyric acid","-0.9884498","-0.9939473"," 1.6835559"," 0.7770783"," 0.5992758"," 0.2113161","-1.0701482","-0.2186807"
"2-Hydroxyisovaleric acid","-1.3525604"," 1.4423226"," 0.5607656","-1.3183936","-0.6626502"," 0.3776956"," 0.5078227"," 0.4449977"
"3-Hydroxyisovaleric acid","-1.28688455"," 1.75401590"," 0.03873802"," 0.56416110","-1.31929170"," 0.38121501","-0.22879067"," 0.09683687"
"Valine","-0.5982960"," 0.9578583","-1.6212951"," 1.4099292","-0.7985930"," 0.6143756","-0.1966919"," 0.2327128"
"Urea","-0.5763665","-0.9529365"," 0.3392343","-1.8013653"," 0.6231208"," 0.5198984"," 1.0523173"," 0.7960976"
"Ethanolamine"," 0.08135763"," 1.80708045","-1.02487823","-0.81907406","-1.23765418"," 0.40858653"," 0.38644657"," 0.39813530"
"Leucine","-0.39717353"," 1.42038808","-0.81068300"," 1.65211344","-0.38372647"," 0.02207642","-1.03507714","-0.46791781"
"Glycerol"," 1.3893443"," 0.2968948","-0.6092582"," 0.4360792"," 1.0537421","-1.6199035","-0.1288869","-0.8180119"
"Isoleucine","-0.5359379"," 1.4808946","-1.2744574"," 0.9680412","-1.2581115"," 0.5499894","-0.1531223"," 0.2227039"
"Proline"," 0.5616994"," 1.4398567","-1.7124812"," 0.4941087","-1.1375099"," 0.3355297","-0.1086812"," 0.1274778"
"Glycine","-0.2929148"," 1.0427959","-0.9183821"," 2.0022084","-0.4090454","-0.2256955","-0.7364075","-0.4625591"
"Glyceric acid"," 0.41573624"," 0.60549746"," 0.03842261"," 1.89613451","-0.04395129","-1.10542468","-0.83889932","-0.96751554"
"Uracil","-2.2812755"," 0.5131081","-0.3394010"," 0.3856605","-0.1808741"," 0.5131081"," 0.7539268"," 0.6357470"
"Serine"," 0.4763382"," 2.0735208","-0.8747343"," 0.6197657","-0.6485890","-0.5376682","-0.5595607","-0.5490725"
"Threonine"," 0.75259343"," 1.51813747","-1.32006211"," 0.35523044","-1.47008840","-0.16115482"," 0.26280684"," 0.06253716"
"Malic acid"," 0.4516797"," 1.4388066","-0.6736457","-1.5769916"," 0.9742965","-0.8273574"," 0.3601966","-0.1469847"
"d-Threitol"," 0.52981629"," 1.54285185","-0.06130589"," 1.03428551","-0.51725185","-1.51933349","-0.20422246","-0.80483997"
"Oxoproline"," 0.03241389"," 0.35828539","-0.68485309"," 1.87781607"," 0.66479789","-1.38317933","-0.16257820","-0.70270262"
"Aspartic"," 0.2336399"," 1.0231347","-0.7967629"," 1.6083504"," 0.5589743","-1.0519832","-0.6954918","-0.8798613"
"4-Hydroxyproline"," 1.2275425"," 1.5644755","-0.7019601"," 0.6308336","-0.5778671","-1.1197941","-0.3641575","-0.6590729"
"Threonic acid","-0.2186215"," 0.5139804","-0.2139045","-0.9293313","-1.4792234","-0.2159251"," 1.6654684"," 0.8775570"
"a-ketoglutaric acid"," 1.2623311"," 1.0431138","-0.1440262","-1.4710395"," 1.0218327","-0.8119398","-0.3381098","-0.5621623"
"Glutamic acid"," 0.9964632"," 1.7310323","-0.7834686"," 0.1148192","-0.9727251"," 0.3085972","-1.1272056","-0.2675126"
"Phenylalanine","-0.1104055"," 0.6980547","-0.2275608"," 1.9199144"," 0.4575736","-1.0810484","-0.7489129","-0.9076151"
"d-Xylitol"," 1.0141803"," 1.0141803","-0.5040235"," 1.3654246","-0.1767887","-1.3274427","-0.5040235","-0.8815069"
"d-Arabitol"," 1.00761073"," 1.57986171","-0.08115786"," 0.60068074","-0.92500880","-1.33138615","-0.16901635","-0.68158402"
