"","C1","C2","C3","C4","C5","P35","PFAKE_FOLR1","P36"
"Label","Control","Control","Control","Control","Control","FOLR1","FOLR1","FOLR1"
"Pyruvic acid"," 0.59341255"," 0.03700568"," 0.61824827","-2.34658027"," 0.17471567","-0.20088334"," 0.39596387"," 0.72811757"
"Lactic acid","-1.2785537","-1.2696557","-0.2403850","-0.6425740"," 0.9578266"," 0.4165271"," 0.8329350"," 1.2238797"
"2-Hydroxyisobutyric acid"," 1.3519982"," 1.6622673","-0.5906491"," 0.3537539","-0.6861871","-0.7544803","-0.6955485","-0.6411545"
"Glycolic acid","-0.68079293"," 1.59038140","-1.12788869"," 0.04612275","-0.95196423"," 1.14099806"," 0.50376965","-0.52062601"
"Alanine"," 0.9320005"," 0.1680379","-0.8296492"," 0.1882705","-1.2620313","-1.1337761"," 0.4095869"," 1.5275608"
"2-HydroxyButyric acid"," 1.1126543","-0.4599036"," 1.6864630"," 0.5570585","-0.5355463","-0.4409535","-0.7701436","-1.1496288"
"3-hydroxybutyric acid/3-hydroxyisobutyric acid","-0.3677741","-0.3718748"," 1.6252930"," 0.9491453"," 0.8165212","-0.6115204","-0.8424677","-1.1973225"
"2-Hydroxyisovaleric acid","-1.3592573"," 1.4073168"," 0.5346891","-1.3254365","-0.6763348"," 0.4564741"," 0.4724015"," 0.4901470"
"3-Hydroxyisovaleric acid","-1.4029905"," 1.5781207","-0.1034315"," 0.4116608","-1.4347605"," 0.2989640"," 0.3153645"," 0.3370727"
"Valine","-0.39780801"," 1.20621616","-1.45227628"," 1.67219355","-0.60426645"," 0.02552916","-0.13935609","-0.31023204"
"Urea","-0.6431484","-0.9555308"," 0.1163850","-1.6593418"," 0.3518821"," 0.6179083"," 0.9405404"," 1.2313051"
"Ethanolamine"," 0.23184559"," 2.03158641","-0.92183795","-0.70720660","-1.14374012"," 0.35900281"," 0.17678912","-0.02643926"
"Leucine","-0.70203518"," 1.31990441","-1.16204225"," 1.57768642","-0.68707604","-0.57807804","-0.09922142"," 0.33086211"
"Glycerol"," 1.42047148","-0.37193039","-1.85867222","-0.14356793"," 0.86984283"," 0.57402020"," 0.03987268","-0.53003665"
"Isoleucine","-0.64712641"," 1.25155440","-1.34238163"," 0.76874545","-1.32699325"," 0.03511749"," 0.45086128"," 0.81022267"
