"","FC","log2(FC)","raw.pval","-log10(p)"
"d-Galactitol",0.20794,-2.2658,2.2868e-05,4.6408
"d-Xylitol",0.26786,-1.9005,0.00072687,3.1385
"Hypoxanthine",0.23474,-2.0909,0.001079,2.967
"Glycerol-1-phosphate",0.53985,-0.88938,0.0022904,2.6401
"Mannose",0.67761,-0.56147,0.0034129,2.4669
"d-Sorbitol",0.53736,-0.89604,0.0039382,2.4047
"d-Arabitol",0.33829,-1.5637,0.0067491,2.1708
"Uric acid",1.3575,0.44092,0.0086405,2.0635
"Citric acid",1.3831,0.46787,0.011423,1.9422
"d-Gluconic acid",0.35925,-1.477,0.014234,1.8467
"Ribonic acid",0.33222,-1.5898,0.020004,1.6989
"Phenylalanine",0.33899,-1.5607,0.020074,1.6974
"Urea",1.6138,0.69043,0.025398,1.5952
"myo-Inositol",0.479,-1.0619,0.026202,1.5817
"a-ketoglutaric acid",0.22377,-2.1599,0.034132,1.4668
"Galactose",1.3964,0.48167,0.038835,1.4108
"3-hydroxybutyric acid/3-hydroxyisobutyric acid",0.071694,-3.802,0.039036,1.4085
"Xylonic acid",0.52582,-0.92735,0.043418,1.3623
"Oxoproline",0.55432,-0.8512,0.04605,1.3368
