"","FC","log2(FC)","raw.pval","-log10(p)"
"d-Galactitol",0.39022,-1.3576,6.3453e-06,5.1975
"Mannose",0.41807,-1.2582,5.4907e-05,4.2604
"d-Sorbitol",0.5109,-0.96888,7.5002e-05,4.1249
"Phenylalanine",0.36174,-1.467,0.0011687,2.9323
"Hypoxanthine",0.45607,-1.1327,0.0013381,2.8735
"Malic acid",0.33673,-1.5703,0.0017888,2.7474
"a-ketoglutaric acid",0.29762,-1.7485,0.012171,1.9147
"Urea",1.4094,0.49507,0.013412,1.8725
"Glycerol-1-phosphate",0.74036,-0.4337,0.017456,1.7581
"d-Fructose",0.6913,-0.53263,0.036467,1.4381
"3-hydroxybutyric acid/3-hydroxyisobutyric acid",0.2123,-2.2358,0.043556,1.361
