"","C1","C2","C3","C4","C5","P29","PFAKE_KS","P30"
"Label","Control","Control","Control","Control","Control","KearnSyre","KearnSyre","KearnSyre"
"Pyruvic acid"," 0.2170614","-0.2544678"," 0.2381085","-2.2744471","-0.1377649"," 0.6686389"," 0.7394798"," 0.8033912"
"Lactic acid","-1.1954476","-1.1889555","-0.4379745","-0.7314213"," 0.4362700"," 1.0234004"," 1.0391882"," 1.0549404"
"2-Hydroxyisobutyric acid"," 1.26090328"," 1.62253388","-1.00332493"," 0.09741133","-1.11467755","-0.67883770","-0.23535800"," 0.05134968"
"Glycolic acid","-0.32930857"," 1.99487860","-0.78684023"," 0.41457448","-0.60680942","-1.18476918","-0.08626657"," 0.58454090"
"Alanine"," 0.3650058","-0.3027559","-1.1748106","-0.2850711","-1.5527457"," 0.9603130"," 0.9835088"," 1.0065557"
"2-HydroxyButyric acid"," 0.1406089","-1.0538063"," 0.5764376","-0.2813864","-1.1112597","-0.8027511"," 0.8341952"," 1.6979617"
"3-hydroxybutyric acid/3-hydroxyisobutyric acid","-1.51961695","-1.52473457"," 0.96774745"," 0.12390947","-0.04160655"," 0.44872545"," 0.68175938"," 0.86381633"
"2-Hydroxyisovaleric acid","-1.29385434"," 0.57454368","-0.01478303","-1.27101356","-0.83264466"," 0.90988416"," 0.94628265"," 0.98158510"
"3-Hydroxyisovaleric acid","-0.8467608"," 1.3637898"," 0.1168868"," 0.4988375","-0.8703189","-1.4996188"," 0.1776001"," 1.0595843"
"Valine","-0.506514143"," 1.114571509","-1.572198446"," 1.585505351","-0.715168613"," 0.007373531"," 0.031321154"," 0.055109656"
"Urea","-0.5348223","-0.8269491"," 0.1754611","-1.4851234"," 0.3956880","-0.2701019"," 0.8707126"," 1.6751351"
"Ethanolamine","-0.1373686"," 1.3417714","-1.0855381","-0.9091406","-1.2679112"," 0.3981209"," 0.7038570"," 0.9562092"
"Leucine","-0.4375785"," 1.4717694","-0.8719700"," 1.7151968","-0.4234523","-0.3177805","-0.4831392","-0.6530457"
"Glycerol"," 0.7636896","-0.5577888","-1.6539142","-0.3894247"," 0.3577294","-0.6245747"," 0.5589390"," 1.5453444"
"Isoleucine","-0.56070127"," 1.45497261","-1.29879668"," 0.94241388","-1.28246011"," 0.52888828"," 0.25944252","-0.04375922"
"Proline"," 0.3299343"," 1.1282138","-1.7374076"," 0.2684916","-1.2147236"," 0.9010771"," 0.4683841","-0.1439696"
"Glycine","-0.44220441"," 0.97646303","-1.10651754"," 1.99546151","-0.56554755","-0.48937315","-0.27790025","-0.09038164"
"Glyceric acid"," 0.04373597"," 0.29085450","-0.44762465"," 1.97160009","-0.55489694","-1.48992113","-0.28157086"," 0.46782301"
"Uracil","-2.2591563"," 0.7297482","-0.1820234"," 0.5934434","-0.0124731","-0.1820234"," 0.4515752"," 0.8609093"
"Serine"," 0.11285009"," 1.85361691","-1.35968166"," 0.26917155","-1.11320626","-0.36051409"," 0.09599939"," 0.50176407"
"Threonine"," 0.5459114"," 1.2664553","-1.4049094"," 0.1719062","-1.5461169","-0.1376914"," 0.3580395"," 0.7464053"
"Malic acid"," 0.4552306"," 1.4393122","-0.6666250","-1.5671888"," 0.9762353"," 0.3640296","-0.1583505","-0.8426434"
"d-Threitol","-0.28863205"," 0.19502793","-0.57085528","-0.04778011","-0.78854048","-1.27313733"," 0.90710783"," 1.86680947"
"Oxoproline"," 0.05173992"," 0.37958595","-0.66987317"," 1.90832386"," 0.68795569","-1.26615785","-0.75862680","-0.33294760"
"Aspartic","-0.06578694"," 0.94903007","-1.39026774"," 1.70126651"," 0.35239815","-0.93769366","-0.50321946","-0.10572693"
"4-Hydroxyproline"," 1.2234799"," 1.5383360","-0.5796273"," 0.6658678","-0.4636585","-1.1637082","-0.7570313","-0.4636585"
"Threonic acid","-0.36683381","-0.08416496","-0.36501383","-0.64105582","-0.85322748","-0.77577428"," 1.20955039"," 1.87651979"
"a-ketoglutaric acid"," 1.2701729"," 1.0546032","-0.1127843","-1.4177237"," 1.0336762","-0.7996772","-0.6012411","-0.4270261"
"Glutamic acid"," 1.1356172"," 1.7490074","-0.3506981"," 0.3994118","-0.5087372","-1.0965937","-0.7773499","-0.5506575"
"Phenylalanine","-0.01695501"," 0.71858493","-0.12354329"," 1.83023708"," 0.49979433","-1.12928967","-0.96395538","-0.81487299"
"d-Xylitol"," 0.8636638"," 0.8636638","-0.5524066"," 1.1911827","-0.2471009","-1.8299061","-0.5524066"," 0.2633098"
"d-Arabitol","-0.01660927"," 0.25739609","-0.53793377","-0.21145560","-0.94198683","-1.29924874"," 1.02621155"," 1.72362657"
"Glycerol-1-phosphate"," 0.6768380"," 0.5554933","-0.8985103","-0.5563263"," 1.1222651","-1.6999093","-0.1687872"," 0.9689366"
"Glutamine"," 0.1432355"," 1.4616273","-0.9659382"," 1.2600168"," 0.3918950","-1.2387896","-0.7271048","-0.3249421"
"Xylonic acid","-0.3552916"," 0.2112211","-0.5782328","-0.1617867","-0.9231148","-1.0871655"," 1.0965672"," 1.7978032"
"Ribonic acid","-0.04929082"," 0.03430985","-0.64427733","-0.51978965","-0.93749532","-0.88758571"," 1.24514296"," 1.75898602"
"Hypoxanthine"," 0.9466763"," 0.9667222"," 0.3321580"," 0.8624412"," 0.4023385","-1.0225860","-1.1629149","-1.3248353"
"Ornithine","-0.664943019"," 1.888445983","-0.977915435"," 0.976153666"," 0.130180074"," 0.004286176","-0.408091283","-0.948116162"
"Citric acid"," 0.3718301","-0.4324089","-0.0530208","-0.4590686","-0.7034967","-1.3450241"," 0.7098051"," 1.9113840"
"4-hydroxyPhenyllactic acid"," 1.13627314"," 1.40420633","-0.19525467","-1.69235751","-0.47307183"," 0.47599392","-0.03678255","-0.61900684"
"d-Fructose"," 0.2329579"," 1.0165081"," 0.9772110"," 0.4133802"," 0.7737547","-1.5367970","-1.1182064","-0.7588086"
"Mannose"," 0.7297185"," 0.8770107"," 0.5905918"," 0.8008199"," 0.6089720","-1.1898323","-1.2022522","-1.2150283"
"Galactose","-1.4359630","-1.2888920","-0.2942889","-0.3052701"," 0.9083482"," 0.3952199"," 0.8183716"," 1.2024744"
"Glucose","-1.5418847","-0.7987378","-0.9713194"," 0.1229615"," 1.3975173"," 0.5571417"," 0.5972533"," 0.6370682"
"d-Mannitol","-0.48746777","-0.05515043","-0.57032127","-0.15169859","-0.74647107","-1.00988066"," 1.14253621"," 1.87845357"
