"","C1","C2","C3","C4","C5","P52","P53","P55","P56","P57","P59","P61","P64","P66","P68","P69","P70"
"Label","Control","Control","Control","Control","Control","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2"
"Pyruvic acid"," 0.93721814"," 0.37291815"," 0.96240618","-2.04448101"," 0.51258168","-1.31148681","-1.38861162"," 0.37959327"," 0.55675187"," 0.90542725"," 0.55072498"," 0.37781881","-0.01247468","-0.24948373"," 0.22721841","-1.77195550"," 0.99583460"
"Lactic acid","-1.80123092","-1.78917078","-0.39411939","-0.93923770"," 1.22991093"," 0.64958518"," 0.63173494"," 1.41463740","-0.51729906","-0.36280789"," 1.24170806","-0.08000659"," 1.24440229"," 0.03917480","-0.19166030","-0.72502038"," 0.34939942"
"2-Hydroxyisobutyric acid"," 2.03489506"," 2.48131042","-0.76018667"," 0.59862079","-0.89764679","-0.53093503","-0.45891131","-0.07896838","-0.17948587","-1.34397783"," 0.69246607","-0.17290390","-0.38355014","-0.51244525","-0.34397663","-0.60845135"," 0.46414680"
"Glycolic acid","-0.4582335"," 2.9836615","-1.1357934"," 0.6433849","-0.8691853"," 0.6395520"," 0.4153654","-0.1995714","-0.4032580","-1.6546804","-0.1601578"," 0.3346924"," 0.3561658"," 0.3043289","-0.7033612","-0.2048719"," 0.1119620"
"Alanine"," 1.4044215"," 0.8063438"," 0.0252919"," 0.8221831","-0.3132039","-0.1295689"," 0.2770441"," 0.6601620","-0.8312788"," 1.6634700","-0.0789735","-1.7631720"," 0.5290116"," 0.3105686","-0.2508187","-1.8466864","-1.2847945"
"2-HydroxyButyric acid"," 0.488792349","-1.434715054"," 1.190658516","-0.190796497","-1.527239028"," 1.424852262","-0.686437565"," 0.020709253"," 0.420004451"," 1.792663560","-1.751151419"," 0.545962756","-0.005241958","-0.516158893","-0.247364646","-0.093172021"," 0.568633934"
"3-hydroxybutyric acid/3-hydroxyisobutyric acid","-0.40200867","-0.40773780"," 2.38257257"," 1.43790383"," 1.25261020","-0.03360028","-0.61779672","-0.65258060"," 0.44176204","-0.83980257","-0.23025149","-0.20214027","-0.75287545","-1.65385760","-0.78453679"," 0.33871417"," 0.72362542"
"2-Hydroxyisovaleric acid","-1.747299591"," 1.949738358"," 0.783625457","-1.702104058","-0.834694296","-0.296568790"," 0.515796034"," 0.057564068"," 0.008126112","-0.685608883","-0.135422648","-0.090300354","-0.709800600"," 0.290086907"," 1.727694521"," 0.692430366"," 0.176737398"
"3-Hydroxyisovaleric acid","-1.40614481"," 2.21549576"," 0.17264084"," 0.79840724","-1.44474099"," 0.04577265","-1.59042039"," 1.22187297","-0.14597951"," 0.35390628"," 0.17264084"," 0.31698757","-0.25082482"," 0.10190300","-0.67809979","-0.81306829"," 0.92965144"
"Valine"," 0.227754994"," 1.941335524","-0.898734459"," 2.439139610"," 0.007195248","-0.823554582","-0.262793550","-0.206726886","-1.050565789"," 1.450512611","-0.280808554","-0.252537634","-0.709177189","-0.055478283","-0.503955408","-0.509432154","-0.512173501"
