"","CSF 1","CSF 2","CSF 3","CSF 4","CSF 5","CSF 6","CSF 7","CSF 8","CSF 9","CSF 10","CSF 11","CSF 12","CSF 13","CSF 14","CSF 15","CSF 16","CSF 17","CSF 18","CSF 19","CSF 20","CSF 21","CSF 22","CSF 23","CSF 24","CSF 25","CSF 26","CSF 27","CSF 28","CSF 29","CSF 30","CSF 31","CSF 32","CSF 33","CSF 34","CSF 35","CSF 36","CSF 37","CSF 38","CSF 39","CSF 40","CSF 41","CSF 42"
"L-Citrulline","0.4854066","0.4892333","0.5775408","0.2447731","0.4052471","0.4430342","0.4950784","0.4475804","0.4021527","0.4384609","0.4818115","0.3680253","0.2371877","0.3490289","0.3245766","0.6387800","0.6304408","0.7006404","0.7369948","0.5345084","0.2873119","0.6215173","0.6717863","0.4004140","0.6363619","0.5167450","0.4616937","0.6147867","0.3867861","0.3484649","0.3784379","0.4242999","0.4907407","0.5152832","0.5088692","0.6093743","0.3706210","0.4353277","0.4330400","0.3712046","0.5465443","0.2712200"
"C0 (Carn)"," 1.7889123"," 1.1080143"," 0.8610788"," 0.8981904"," 1.2673384"," 0.6045643"," 0.4980018"," 1.1185984"," 0.7556277"," 0.8611013"," 0.9650522"," 1.0323088"," 1.0367379"," 0.3857657"," 1.0745063"," 1.3625986"," 0.8518756"," 1.8328535"," 1.5557618"," 0.7888246"," 2.4057346"," 1.2725855"," 1.6473348"," 0.7238218"," 1.2798246"," 0.7939555"," 1.3912023"," 1.0037082"," 1.1276679"," 0.9030123"," 1.0599588"," 2.0256025"," 1.0604704"," 0.9162471"," 1.1143573"," 1.0764883"," 0.9840059"," 0.5285993"," 0.8734558"," 0.7751237"," 0.9699424"," 0.8268932"
"Trigonelline","0.0024789484","0.0018679906","0.0065948103","0.0021646896","0.0018967664","0.0017199536","0.0050702978","0.0020608741","0.0047375511","0.0027371881","0.0027004018","0.0265054980","0.0028630129","0.0013956472","0.0015203646","0.0016759232","0.0015828664","0.0009796077","0.0041742995","0.0038110689","0.0004858239","0.0040947955","0.0004789091","0.0078139353","0.0010966080","0.0038498223","0.0025288915","0.0006032764","0.0022551561","0.0031825409","0.0006724376","0.0030075263","0.0143184304","0.0042930162","0.0020906051","0.0031099762","0.0027208911","0.0051407857","0.0184399904","0.0042689438","0.0009284504","0.0008150907"
"C2:0 (Carn)"," 0.7477423"," 0.5965223"," 0.2540158"," 0.5655647"," 1.3495279"," 1.0026031"," 0.1828214"," 0.6989355"," 0.7486173"," 0.5468671"," 0.4296906"," 1.0777320"," 0.5778511"," 0.1251231"," 0.4764400"," 0.5188023"," 0.3120612"," 1.0027467"," 0.7463864"," 0.1376403"," 1.9149160"," 0.1957637"," 0.9669233"," 0.6514581"," 0.5865638"," 0.3295349"," 2.2670438"," 0.3729426"," 0.5351549"," 0.4555518"," 0.3507643"," 2.1482361"," 0.3824279"," 0.4060304"," 0.5772574"," 0.7438022"," 0.4434504"," 0.2473242"," 0.2812341"," 0.3904669"," 0.3071260"," 0.3612795"
"2-Picolinic acid","0.007808236","0.014499920","0.016954241","0.004071830","0.006258137","0.011093635","0.041628932","0.011764939","0.010163871","0.013245642","0.012096641","0.022702843","0.006888044","0.005775943","0.024203226","0.035939801","0.014760207","0.024072669","0.011535318","0.014859255","0.011826691","0.006968147","0.010799941","0.027555545","0.009691122","0.011039408","0.005957846","0.019251602","0.011279637","0.012078844","0.009771226","0.012088495","0.008998282","0.016717403","0.021682397","0.005160823","0.012216005","0.013303919","0.014516800","0.009586726","0.046754778","0.013682354"
"Nicotinic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3:0  (Carn)","0.031304803","0.028502430","0.030216622","0.035984434","0.035892017","0.083127451","0.027837077","0.030960408","0.014127459","0.019431487","0.053368497","0.020918854","0.029363160","0.013679562","0.043484461","0.072853817","0.028531344","0.002580069","0.032736675","0.009219089","0.031911713","0.011972050","0.029723408","0.025140256","0.018663411","0.021891164","0.024771069","0.015042760","0.027803690","0.009722013","0.041520069","0.023545412","0.001151666","0.018943283","0.028254874","0.028100945","0.005666255","0.001988971","0.001841261","0.038930177","0.021805367","0.031027191"
"C5-DC (Carn)","0.003950217","0.003245407","0.002813450","0.002031328","0.003587895","0.001784421","0.001137458","0.004245801","0.002807061","0.001952945","0.004432623","0.006205087","0.005260647","0.000469182","0.009499265","0.011246557","0.004257212","0.028498434","0.004062048","0.004937130","0.017148237","0.002422337","0.021696284","0.003642282","0.002691139","0.002741395","0.004529529","0.004595938","0.008762538","0.003896128","0.018883063","0.003369097","0.003150110","0.002380221","0.003474544","0.002352096","0.002199939","0.001366373","0.003144477","0.002037948","0.015998182","0.002219020"
"C5-OH (Carn)","0.0041213193","0.0023883107","0.0074355206","0.0025748347","0.0017635540","0.0010366540","0.0018259026","0.0052366066","0.0014631078","0.0028023866","0.0027921107","0.0025889336","0.0016507444","0.0008449225","0.0029887533","0.0061706777","0.0016219921","0.0035267156","0.0026919581","0.0020006190","0.0075004515","0.0025085876","0.0098651317","0.0033571261","0.0030696911","0.0026058724","0.0033455095","0.0025566192","0.0020895643","0.0028645818","0.0099084803","0.0020942902","0.0029117828","0.0042058814","0.0028236767","0.0019323012","0.0023749952","0.0021144785","0.0016508437","0.0025101224","0.0030069823","0.0028011013"
"Kynurenine","0.02158835","0.03291572","0.03199168","0.04751703","0.03830359","0.02881703","0.03251238","0.03383694","0.02636435","0.03177525","0.03488284","0.04726235","0.04812358","0.02084868","0.21933096","0.36911328","0.06405494","0.07763911","0.02783953","0.02030025","0.04059257","0.02260957","0.06069851","0.02886177","0.02878059","0.01736482","0.03077457","0.05273254","0.03358678","0.03654320","0.16419774","0.02032267","0.02492141","0.02821256","0.02916740","0.02355804","0.01785269","0.03670589","0.04389148","0.01611161","0.45485020","0.16063695"
