"","CSF.1","CSF.2","CSF.3","CSF.4","CSF.5","CSF.6","CSF.7","CSF.8","CSF.9","CSF.10","CSF.11","CSF.12","CSF.13","CSF.14","CSF.15","CSF.16","CSF.17","CSF.18","CSF.19","CSF.20","CSF.21","CSF.22","CSF.23","CSF.24","CSF.25","CSF.26","CSF.27","CSF.28","CSF.29","CSF.30","CSF.31","CSF.32","CSF.33","CSF.34","CSF.35","CSF.36","CSF.37","CSF.38","CSF.39","CSF.40","CSF.41","CSF.42"
"Pyruvic acid",8,8,12,9,6,2,7,10,10,10,10,1,4,11,3,3,8,8,8,12,9,2,5,10,10,10,10,1,4,3,3,8,8,12,12,6,10,10,10,10,1,3
"Lactic acid",7.66140660351312,7.46719676601375,7.55489569312465,7.87247992109864,7.66210432648519,7.69475976625542,7.482328924023,7.67978618816648,7.67772830635468,7.76800885052956,7.54523698953022,7.94704493121621,7.83162481899983,7.17066016651741,7.39719749868245,7.39859286626473,7.6254170074994,7.43627660615582,7.54605232076075,7.59755937766582,7.87923925056137,7.68549449561854,7.95428132738525,7.5630489713107,7.74806607228161,7.59565923784765,7.74837977909259,7.35635075526485,7.95958862960895,7.55944015590102,7.49658362336997,7.51765888455417,7.42426372488362,7.50994110985341,7.79539506438896,7.78828991298619,7.60940025082172,7.58278533099449,7.52128766030267,7.64517146628365,7.40535765975646,7.74670481747145
"2-Hydroxyisobutyric acid",0.7287944975003,0.360377779971955,0.873787199361,0.828340485193367,0.523009181882098,0.759825535619026,2.00213366490318,0.738089713987407,0.77368602667491,0.994744103375646,0.932608470463809,0.439814617213711,0.687080414895963,0.533470502154658,2.68013735712785,3.09455533957848,1.71263480113831,2.67670378229249,0.772941703592067,0.972122105585718,1.41901914150509,0.75377180237638,1.65653693314047,0.397909771631645,1.53321852820249,0.936093359170335,0.817361093726106,0.341643201252344,0.629038700274884,0.62473016109553,1.46105017159533,0.623001555622251,0.720197353383395,0.545694477454197,1.33648554329895,0.593148597348317,0.747681198127033,0.836758660470391,0.698776456413954,1.36159671976687,1.09565090810593,0.564672125942757
"Glycolic acid",2.67488727312859,2.16701081509964,2.27396512091352,1.86684483262692,3.28493105771683,2.19643059554942,2.16782849296652,2.67906269364072,2.5992445726672,2.38218810401518,2.31182794592094,2.83300326316724,2.12823170584927,2.32168718085211,2.2928953991721,3.53795275085138,2.20709635724956,3.00638958216225,2.64490754085294,2.28529355227933,2.77080143849932,2.38020730439782,2.14132584035836,1.88977160152949,2.3962705900795,2.57042885601305,2.5780500140452,2.73274281369258,2.55556476731614,2.0618774420101,2.68004255652667,2.35409260943441,2.07810139408306,2.23804657185647,2.38548089594848,2.3768971657464,2.55971591764306,2.2082744135228,2.38086803780817,2.49172857743528,2.76564504561836,2.15134688446841
"Alanine",3.1305009004884,2.92613028802331,3.24619094689217,3.78771296514522,3.13967676122694,2.97443662225195,2.84899231636452,3.16457126432408,3.28606670040191,3.40107737446158,2.95629109610024,3.55457948049241,3.2293072281063,2.63782085120509,3.62599689444835,3.44507741560993,3.46133278579191,3.17344112482712,3.24810836029828,3.07297059106029,3.80041367318618,3.05085378097453,3.98181414488109,3.70448874281878,3.17955769897045,2.68358604574683,3.36172378320275,3.5080788400999,3.51576339639937,3.21086421747562,3.44987325358619,3.57420514385964,2.80056435445302,2.95007360114221,3.16260214894398,3.76756308481446,3.29626159061088,3.12858343487365,2.65924083674846,2.82336381988659,3.86183562560738,3.11000024973203
"2-HydroxyButyric acid",3.61784677148321,3.63038712453325,3.83301471089815,3.60698692616068,3.48525187749537,3.67034176294861,3.85860522433705,4.39853280521002,3.716949527389,3.94433403622917,4.07312642456366,1.77740966821599,4.27652049730262,2.29383724187225,4.095365540846,3.47773518509769,2.68713404205961,3.96739666977202,3.67615775030186,4.09599643046954,4.91006614813856,3.62087255175678,4.29497859792138,4.5179945736944,3.37739483534525,4.11373860932874,3.93599151201459,1.13995031002361,4.33849178399719,4.32247565504735,3.8760949327797,3.3952387978421,3.35894627617132,2.81187728164915,4.48660458795963,3.21045337540957,3.77159230148181,3.85794144849956,3.90751284995026,4.12122465046083,1.55013303187594,3.44839898314645
"3-hydroxybutyric acid/3-hydroxyisobutyric acid",0.957370869072722,1.73450616853355,1.49090862339992,4.24574954750619,1.71800294812869,1.50120594476776,1.42834136500969,2.3730285518702,1.8281847724509,1.79712140167425,2.8421862608787,1.49344754398925,3.25455431019509,0.952093688067352,2.02474694309401,2.01844513982427,1.01189395964482,3.75270576856753,1.50908284857468,2.16730096522631,4.73552617861215,1.57046233723206,3.70452258484286,1.63224054501495,2.18469113868642,2.21145966488954,1.70899125907802,0.829748481191206,1.94579499956872,4.85847993562402,3.86486376457996,1.399313986766,2.47883986735593,1.37616245628316,2.12226153886276,1.06748791155352,1.00542369005133,1.68085788944937,2.73886097011526,3.12722025483488,1.58923520511658,3.67194247990902
"2-Hydroxyisovaleric acid",1.89570770308525,1.77522568643347,2.47951580358556,3.04333125235327,2.26954523891585,2.24772005911146,1.87699957010061,1.90162594776998,2.20765386937675,2.03386194561657,2.01533303473957,0.721765978028607,2.21736097245513,1.08289806445078,1.39772075552041,2.77324375141132,1.08071108052825,1.74779634861593,1.96846492409159,1.80484552212638,3.10172565241165,1.87786317190596,2.08145563702739,1.76118939649149,1.9611165294932,1.97799361186572,1.75242047174612,0.404389262927554,2.28345159957785,2.31013715425674,1.41295199301413,1.98754286856352,1.85881497634713,1.39112139223739,2.14470434343162,2.287471455184,2.12110189667772,2.68388970607884,2.27519731846544,2.07762538095791,2.30725160785717,1.7075301460083
"3-Hydroxyisovaleric acid",1.40506851854573,1.19733784156138,2.1099199452303,1.01977865532509,1.75018111234901,1.66907531770083,2.07042930318041,1.5939967082897,1.20727384987493,1.89969731072644,1.54601705980565,1.5877528825293,1.72994133337368,0.754909507885138,1.24582639456831,2.17117122825262,1.13503743118592,1.56575558104788,1.43527641163986,1.69679876168452,2.0337564393126,1.51954843404486,2.99116541129503,1.6719583360821,1.62448533005164,1.66129555754582,1.51919543013222,1.15225510410149,1.54601705980565,1.62623150732571,1.78623339523443,1.17268180770157,0.863638198350013,1.44463944558766,1.85843788665354,1.76215899945176,1.60653048997457,1.41491315858855,1.38387218000626,1.82077006297835,1.5304295529713,1.23930886659912
"Valine",2.84224962887489,3.0278612651729,2.94189448151837,3.01386689285092,2.99136048118054,2.71149200462866,2.72452166531528,2.61832642159982,2.75628948340536,2.77013609199965,2.56233062387759,2.20008071690587,3.21412801182,1.89213769386106,2.8783094667574,3.31025008728368,2.4752083563374,3.26311989978649,2.92913595660617,2.68340444074759,3.02679169687313,2.53037455533094,2.72783766488473,3.1853765784638,2.75199014576008,2.75892606170974,2.64634251381539,1.31002355171902,2.98874824188213,2.59949272876795,3.43720035935029,3.32142403770695,2.73620601314062,2.27076217257023,2.8013765963246,2.90126608748673,2.80758761536604,2.69654014717983,2.69505013185419,2.69496239484982,1.73905728808866,2.82329579795974
"Urea",6.73089028801848,6.70813817274433,6.65389475500587,6.36456382027537,6.69600198667332,6.73357532917719,6.30389490133228,6.87647986220057,6.38140747372661,6.2344050394277,6.71843327614344,7.04873013765075,6.5768057242409,5.67365207908631,6.26866323540893,6.16284248198182,6.40371839283624,6.57051076423092,6.75032256918186,6.85562552960047,7.06966755950563,6.51890920650391,6.38020490638866,6.56575175294578,6.80185172701789,6.83182723611953,6.70374182494491,7.18797132488979,6.72651429815563,6.52600952951853,5.92454987181747,6.84443201911537,6.6223506112744,6.79704078968522,7.08121510301829,6.90394372422754,6.56104891184044,6.70081191809083,6.77287932569806,6.72993840087107,6.88277290191409,6.60582741538269
"Ethanolamine",2.69272645661893,2.89087524223776,2.23875362849967,2.91327572574436,2.63444764991974,1.63412935429208,1.74962185271214,2.88357599670752,2.64039921459904,1.60770941945043,2.58930938191759,2.66478195305321,2.74785183523181,1.43576762525674,2.56795660040118,3.53819143900429,2.02315712814327,2.38079433628313,2.75130424379432,1.93219364936888,3.28075293258484,2.44804399423031,3.28840990987269,1.96942953012465,2.10642409133745,2.66945302151147,2.32032441667196,3.01701928879714,2.73575965681568,1.9829212800217,2.08784017422212,2.61041091102514,2.50860901614881,3.01948522528915,2.16943214303678,2.43347694258787,2.23695979486156,2.28870541435532,2.05096953366345,2.98533516040848,2.55360152132182,1.87455438609697
