"","CSF.1","CSF.2","CSF.3","CSF.4","CSF.5","CSF.6","CSF.7","CSF.8","CSF.9","CSF.10","CSF.11","CSF.12","CSF.13","CSF.14","CSF.15","CSF.16","CSF.17","CSF.18","CSF.19","CSF.20","CSF.21","CSF.22","CSF.23","CSF.24","CSF.25","CSF.26","CSF.27","CSF.28","CSF.29","CSF.30","CSF.31","CSF.32","CSF.33","CSF.34","CSF.35","CSF.36","CSF.37","CSF.38","CSF.39","CSF.40","CSF.41","CSF.42"
"LPC 8:0-sn1",8,8,12,9,6,2,7,10,10,10,10,1,4,11,3,3,8,8,8,12,9,2,5,10,10,10,10,1,4,3,3,8,8,12,12,6,10,10,10,10,1,3
"LPC 14:0-sn2",0.00180625334182315,0.00193526247099553,0.000750034353898584,0.000762074647338365,0.00116250233225101,0.00110870146333016,0.00110232022176267,0.00215471603119432,0.00105056216626911,0.00147263643848985,0.00183928168393144,0.00187126738658828,0.000488834101139766,0.000344979887595216,0.00267124155536581,0.0049854270809429,0.00206637218171172,0.0064612998711208,0.00184943504022395,0.000863377382461328,0.00682452993059464,0.00185743939090564,0.000661707323412324,0.00118203741842988,0.00114839014754585,0.000791553838584973,0.00216848174306328,0.00103316779829604,0.000881145177540357,0.00106122340320064,0.00274552369819514,0.00122407950889701,0.0013442971275925,0.000569113024456615,0.00106105408296822,0.00151934630862852,0.00118453066646292,0.00111051145383838,0.000905526587019982,0.00134285276950012,0.00637453749570433,0.00140509908576856
"LPE 18:3-iso2-sn2",1.94397410469855e-05,6.37300991941922e-05,2.93038106390637e-05,2.28231095507785e-05,2.76850867645427e-05,1.06228735771713e-05,4.17971864854731e-05,2.56890900324203e-05,1.34726692432614e-05,2.51714231970097e-05,3.43795290172302e-05,3.61578162982177e-05,3.74616983017281e-05,4.24057208647002e-05,5.17271921256353e-05,3.77655168738486e-05,2.70516840999813e-05,4.43097183100375e-05,2.69658364186542e-05,1.72587910662509e-05,2.86087907645612e-05,2.12023052294687e-05,5.57858839386515e-05,9.7263456988444e-06,2.62465355567525e-05,1.3141983643782e-05,6.09209442815085e-05,3.92923280463163e-05,9.95537344507966e-06,2.82117120458349e-05,1.06218635878163e-05,5.65991282391446e-05,5.91905348237292e-06,3.90754965428336e-05,2.4572118103124e-05,2.83231288964385e-05,5.31281086769578e-05,3.3881336021141e-05,3.86562828362156e-05,6.91809806983695e-06,2.08003336715372e-05,2.49052698610928e-05
"LPC 18:3-iso2-sn2",1.8697605198767e-05,1.54982599013837e-05,2.90840170558136e-05,1.17328511698397e-05,6.01597603653222e-05,4.12576188927642e-05,4.01029358664819e-05,2.18486713159423e-05,1.19275888659398e-05,5.66848433839182e-05,4.49372003089573e-05,6.5081842131013e-05,7.32911041415059e-05,3.03847683783461e-05,5.40494893000319e-05,6.92459624429986e-05,2.11985453093144e-05,0.000113934109262788,3.52167298836939e-05,1.50194472074784e-05,0.000157185845657592,2.4639866435921e-05,3.11549746788348e-05,0.000104661222823115,4.01275848777017e-05,0.000128859397271222,0.000113726632881396,1.19700383588974e-05,6.53925518604727e-05,3.35894558678294e-05,1.64364849201905e-05,0.000249090074491371,3.5158591929543e-05,0.000115926780231202,1.25308614885156e-05,8.5239497010874e-05,2.65637171812422e-05,8.94327607713808e-05,1.47957105430147e-05,5.654112152077e-05,5.08868452426225e-05,4.9190990103511e-05
"LPC 20:5-sn2",1.43767366542785e-05,2.04880701179554e-05,1.77152130847459e-05,3.93023376531199e-05,4.88767455124937e-05,8.12482592707302e-05,3.72381166527898e-05,5.78558563177614e-05,2.40351111544682e-05,2.46041373158066e-05,8.5332299095735e-05,4.2717787582375e-05,0.000202738747111299,4.47012508842813e-05,0.00016508517269293,3.75972532144419e-05,3.53382955951491e-05,0.000106764900425155,5.2906950402664e-05,1.08662109625364e-05,0.000292754143323685,2.59122842738191e-05,1.3869313820656e-05,5.49558399001077e-05,6.17148555992306e-05,2.40227114522853e-05,1.50492067600801e-05,7.74993468479638e-05,2.94443565106797e-05,3.02040438532945e-05,1.67011505350963e-05,2.4705004828839e-05,2.33907264348647e-05,2.12712837647265e-05,2.19703886492227e-05,7.80433145413859e-05,7.90007393594508e-05,3.64453258610102e-05,1.50728264042975e-05,5.76868260831493e-05,9.03069422052449e-05,1.28824570208863e-05
"LPC 14:0-sn1",0.00731136471431712,0.00911569650418874,0.00397141149540443,0.00376561615976297,0.00501489835076758,0.00613729819787614,0.00439077542187066,0.0107671051230233,0.00441670996098982,0.00710174878007313,0.00685578431287659,0.00878740541247356,0.00335415353253155,0.00106245739220542,0.0144022006186137,0.020870605823647,0.00900507929314776,0.0278082534489572,0.00754146850614361,0.00484876471780629,0.0273510854739006,0.00807914365006489,0.00336770790059949,0.00573899541722504,0.00573873193366847,0.00370725263915005,0.0113307113528467,0.00443128035882559,0.00463610165383347,0.00508410003319447,0.0121293649340445,0.0062327937232736,0.00598716311587824,0.00325842954775287,0.00470094522236517,0.0066725668293008,0.00419104230019164,0.0048331773587003,0.00339318961520888,0.0056768670556649,0.0249230250677679,0.00605154341939981
"LPE 20:5-sn2",3.76021593046138e-06,2.95622630319817e-05,1.09739797857193e-05,3.10324184894704e-05,2.40076718135573e-05,3.64197067944949e-05,5.28533932348604e-05,6.38446718855992e-05,2.32867188623508e-05,2.13741315715595e-05,9.55243637540912e-06,0.000108009266789046,3.87179804492638e-05,2.87054788007394e-06,9.95903240863832e-06,3.46849784691509e-05,1.38627339117935e-05,1.86573459507146e-05,1.03620963133485e-05,8.97009776849456e-06,4.88722057342249e-05,9.92455975135001e-06,7.27815051416798e-06,1.16256224222064e-05,1.80085678446764e-05,2.19653287604042e-05,1.17782806357716e-05,5.67050092263528e-06,3.2522687114779e-06,3.28227213285699e-05,2.22738019370248e-05,5.24134626413963e-06,4.76704437463052e-05,1.87375244515411e-05,5.21082042372062e-06,2.94473564223696e-05,3.91500936250313e-05,1.79200294352227e-05,3.53671074576126e-06,4.23694402414303e-06,2.72870177059653e-05,1.44076762088822e-05
"LPC 16:1-sn2",0.00138933163169544,0.00168236263403896,0.000476694563090735,0.000172961741255662,0.000723013562690218,0.00142573575558459,0.00108249059559021,0.00260233668274455,0.000875172025219102,0.00180085967837767,0.00140434554502782,0.00223073595742019,0.000447402100752367,0.000223955820023081,0.00227897496270623,0.00304582556035865,0.00142454425485059,0.00418616357807823,0.0016820876969344,0.00113614544226977,0.0042836873961758,0.00148781335660257,0.000553162477422566,0.000847756353015642,0.00130435096430472,0.000739515191223853,0.00162618444504967,0.000782806726849687,0.000784922567666678,0.00063999306074478,0.00159149689670603,0.00117239487647007,0.000874049407502152,0.000495930206284001,0.000763128843100246,0.00107203946029913,0.000908196664530851,0.000619253423014802,0.000713882625152053,0.000909939579382137,0.0048880563635509,0.000750484316183462
"LPC 16:1-sn1",0.00815027310701827,0.00892079611361075,0.00381337085035024,0.00203725039546482,0.00681826670063135,0.00817749297761556,0.00884518079578464,0.0118064033240723,0.00510476449090342,0.0110501317909369,0.00867921441596808,0.0095199134844255,0.00333135686372234,0.00147819293430342,0.0126300332810014,0.0183072440815398,0.00872467112817523,0.0258040824836789,0.00884797298488505,0.00649112995815527,0.0254441739997686,0.0108125560598602,0.00352812882751681,0.00496745076195759,0.00651098545592352,0.00444739366740479,0.0110555238627178,0.00476328751226931,0.00516821872026734,0.00363434675386449,0.00622996838400754,0.00692674163852951,0.00685052746261947,0.00309700632129143,0.00532159615633382,0.00704375540678444,0.00579937109219164,0.00446809916153153,0.00446934159701091,0.00550700059865325,0.0264732993968856,0.0051537167578943
"LPC 15:0-sn2",0.00031897842097379,0.000628499952520867,0.000417629880499993,0.000157856240048017,0.000494537396221391,0.000350341223346308,0.000214886510239919,0.000978240666538914,0.00069071060450011,0.000616085180545562,0.00053054583566536,0.000496733107679783,0.000228630961949752,0.000140153278070449,0.000671564250241273,0.000620864423789789,0.000385281169677224,0.00054727231918186,0.000657093666663052,9.22186777270237e-05,0.00163315367824642,0.000729165294360864,7.4889345722951e-05,0.000383379100840084,0.000270911800084306,5.03183240118034e-05,2.52923801450137e-05,0.000426273532526716,0.000338935754787139,0.000383988267068115,0.000695193896715974,0.000407453979352109,9.57457962250539e-05,0.000264073529516022,0.000256323246389658,0.00011843158670271,0.000375978811107932,0.000126860952809068,0.000441980712133631,0.000108323532794211,0.00115809315118304,0.00042333128266709
