"","CSF.1","CSF.2","CSF.3","CSF.4","CSF.5","CSF.6","CSF.7","CSF.8","CSF.9","CSF.10","CSF.11","CSF.12","CSF.13","CSF.14","CSF.15","CSF.16","CSF.17","CSF.18","CSF.19","CSF.20","CSF.21","CSF.22","CSF.23","CSF.24","CSF.25","CSF.26","CSF.27","CSF.28","CSF.29","CSF.30","CSF.31","CSF.32","CSF.33","CSF.34","CSF.35","CSF.36","CSF.37","CSF.38","CSF.39","CSF.40","CSF.41","CSF.42"
"SM 18:1;2/12:0",8,8,12,9,6,2,7,10,10,10,10,1,4,11,3,3,8,8,8,12,9,2,5,10,10,10,10,1,4,3,3,8,8,12,12,6,10,10,10,10,1,3
"SM 18:1;2/14:1",0.00545713969026401,0.00469995488833835,0.00460162526389755,0.00276955823052331,0.00211961103653815,0.00368532683324793,0.00468288814374025,0.00538273604820609,0.0020019527546718,0.0042522493594621,0.00335376085177715,0.00367179470367844,0.00259745768414333,0.00084543851612118,0.00706458197327188,0.00853407695374596,0.00413446729891881,0.0124804363460644,0.00471314167779335,0.00339837198709618,0.0259243619682239,0.00330803840259467,0.00283500856290773,0.00352639495414119,0.00251974876502964,0.00187688554785222,0.00481485993576737,0.00281042804480465,0.00441543759228879,0.00244721612245454,0.00456146169719944,0.00317710764429916,0.00246490063487724,0.00228663864800957,0.00270820051226839,0.00273591098007457,0.00210424951328651,0.00194940667152775,0.00108981993046967,0.00225000284408782,0.0138404978962544,0.00187318748835373
"SM 18:1;2/13:0",0.00207637314452077,0.0038903961855648,0.00328446184504971,0.00109082143790979,0.00412291389794267,0.00142440075940145,0.00225260747366619,0.00201503704852527,0.00171477882605362,0.0149095106990269,0.00305252928830727,0.00776409654593147,0.00382114860390582,0.00390115538837022,0.00222395866961778,0.0038505621610839,0.00576630874037104,0.00443045651725836,0.00296613367297444,0.00244758930800075,0.0088563016312808,0.00222097061784221,0.00391267529304352,0.00311118593801399,0.00381540099181946,0.00167463591422314,0.00168317786104439,0.00261065417496062,0.00224036770107184,0.00715410465800866,0.00175838403626325,0.00173940645510467,0.00168438033463891,0.00276339540344663,0.00166229871561748,0.00515681832718893,0.000893145127119541,0.0038688274265074,0.00141991184787688,0.00315280368710098,0.00280609463126566,0.00408180907116146
"SM 18:1;2/14:0",0.0653752210065911,0.06214862698921,0.0728039122370762,0.0368412209442621,0.0553522531577594,0.0400707460037394,0.0451384189422921,0.0840581212529839,0.0422422974124126,0.0587999274855934,0.0712455163762392,0.061339095930772,0.0551905427399821,0.0132881403029051,0.115253991429428,0.134186943953789,0.0702512846861523,0.123103505709608,0.0804117380349943,0.0491039054236877,0.43155237048648,0.0555539996778255,0.0374070502297637,0.0697983110334166,0.0408781753420832,0.02939460429578,0.0847930867354268,0.0429433620282626,0.0512426781065682,0.0400664035332685,0.0988105916626651,0.0425860632356896,0.0466597631424822,0.0322160647068914,0.0481193201562764,0.0553975917244125,0.0446150509776867,0.0350656698271397,0.0305478760535348,0.0429715928773489,0.177815000840814,0.0402708154489749
"SM 18:1;2/16:1",0.0882568727043939,0.0604828235282387,0.0535460654921914,0.0290826403507731,0.0546099108297603,0.0500874366332388,0.0516575350438678,0.0698389707773073,0.0301848004385385,0.0786918017647453,0.0752402929793169,0.0735751766719847,0.0474817466596838,0.0118881253833348,0.117267960805883,0.133443807539061,0.0600561496785274,0.129293056051861,0.0869574288677893,0.0416870250734223,0.434391179473403,0.0515548246855205,0.0392447513259006,0.050427442145663,0.0467487581077023,0.0304269786653658,0.0941264431007634,0.0483871686919472,0.0559293905668235,0.0324700749348894,0.0901356970481327,0.0533443779767356,0.0386000975343185,0.0341376431372322,0.0407617271042109,0.0480214116120327,0.0381951586057897,0.0383498725431807,0.0341321827449582,0.0349033876703729,0.23527134344033,0.0250965505086598
"SM 18:1;2/15:0",0.0209769267522914,0.0218863196066339,0.0228618714645614,0.00630810599773095,0.021824855723095,0.0148597775952703,0.0135449762285514,0.0251157347688729,0.0131425254237883,0.0216169627466969,0.0243812812049554,0.0198473498255242,0.0221925544379541,0.00420341227149868,0.02660710658154,0.0397570010559833,0.0144876759718086,0.0286936436337217,0.0257061641392754,0.0154238898968918,0.157797567839985,0.016523431114305,0.0107660624101316,0.0263917078223888,0.0158446243342876,0.0129507695859754,0.0243849525849585,0.013154469342218,0.0184777942098992,0.0117263201768279,0.0290761333484688,0.0150218055935993,0.0188209092942052,0.0111289113018239,0.015663819332434,0.0191577919835903,0.0135826152228653,0.0109822447814584,0.00945013547928744,0.0127877737790999,0.052512183140747,0.011903926292824
"SM 18:1;2/17:1",0.000677415202503027,0.000558686605570504,0.00111413841723196,0.000560299902688984,0.00144608711184827,0.000775651104890142,0.000623928116365283,0.00120118179221247,0.000333953431344904,0.00168641001094807,0.0016821393100423,0.00114355708927786,0.00202367758257059,0.000288330628728939,0.00157606116286714,0.00280497378026677,0.000443886967601475,0.00320362760077842,0.0015021429182003,0.000906531975695617,0.0118626903355156,0.000881868539610554,0.000494984574920013,0.00103124208705108,0.000684960960671331,0.000979869970579149,0.00213747167893258,0.000875694967217722,0.00156605170065648,0.000914890659880043,0.0020254173567472,0.00144219923056166,0.00153636458728524,0.000414186313005537,0.000991913890720084,0.00158996673272355,0.000867246033423542,0.00062447297615737,0.00180222052454905,0.000584339140625443,0.00391181157872266,0.000484179766057144
"SM 18:1;2/20:5",0.0128782018388278,0.0120401802493631,0.00965261525314772,0.00890097453076068,0.00919975220977739,0.0154301229933287,0.00843910338533295,0.00858469582769036,0.00780767462768282,0.011242388855921,0.00963981135985137,0.0111488430434862,0.00950953767852529,0.0095924945601701,0.00980046120743215,0.00973647927567819,0.00970571776951012,0.0269381567848391,0.0112875986880719,0.0100517801624584,0.00834075598423545,0.00860792131364041,0.0154046330268329,0.00928505614166661,0.0094924032480476,0.00914941317451124,0.00843984609076518,0.00863356132226764,0.0165408340158635,0.0119220807256357,0.00858351005033843,0.0089625233299411,0.0115858777653487,0.0106034858178477,0.00783359114945243,0.0103864238695965,0.00891749171781814,0.00953596085536149,0.00969818421539115,0.00853444678401119,0.00786127306292443,0.010348781164269
"SM 18:1;2/18:3",0.107416627410577,0.0749793752288986,0.0764825748375308,0.0454199962899426,0.100262433492394,0.0582825589741988,0.0677662501611811,0.110561511997703,0.0516037546897631,0.0836684314015557,0.114721955326831,0.103729564379551,0.0833408045065615,0.0224963684645239,0.147372931265657,0.215131081035775,0.098029642348191,0.161622637948482,0.133195438698321,0.0640059949956913,0.949388302176742,0.0834678168230446,0.0531123718624302,0.0802697926570206,0.0730674617247359,0.0508108260184024,0.15074500710181,0.0699959429092298,0.0683517166577811,0.055050139100867,0.125831087476447,0.0722176795329711,0.060711488631639,0.044519715914127,0.0625863951037996,0.0902088263624081,0.06451653964598,0.0456716399569033,0.0568677382645631,0.0552327848949015,0.311847316739638,0.0460650830778586
"SM 18:1;2/16:0",0.556715299869565,0.400830317373254,0.386526499440364,0.257002067397207,0.481119740708593,0.345189700309416,0.343631973000293,0.518371442332742,0.261515288805001,0.426247059631363,0.550902393475202,0.517045122523888,0.415681740133691,0.119104562055585,0.643411514544485,0.85188766822847,0.457531676775414,0.81434752611151,0.601618671217719,0.320785192966118,1.73518581967426,0.408718211026439,0.301229441052355,0.384767108085434,0.378473489828254,0.265577864549807,0.640703804028755,0.352169600101706,0.39107783925402,0.292358446152153,0.572652214692753,0.365659194425116,0.32113856010116,0.231664108052083,0.298298295410968,0.441577276790813,0.331950887854019,0.245068317436975,0.291585220250276,0.280680115868386,1.05392808847968,0.243000530074498
