"","CSF 1","CSF 2","CSF 3","CSF 4","CSF 5","CSF 6","CSF 7","CSF 8","CSF 9","CSF 10","CSF 11","CSF 12","CSF 13","CSF 14","CSF 15","CSF 16","CSF 17","CSF 18","CSF 19","CSF 20","CSF 21","CSF 22","CSF 23","CSF 24","CSF 25","CSF 26","CSF 27","CSF 28","CSF 29","CSF 30","CSF 31","CSF 32","CSF 33","CSF 34","CSF 35","CSF 36","CSF 37","CSF 38","CSF 39","CSF 40","CSF 41","CSF 42"
"L-Citrulline",0.712322246888477,0.774377815033675,0.830207900782218,0.655353351525427,0.704453781095969,0.776645760862996,0.816691473308428,0.714449881469827,0.778699393353816,0.726840894943912,0.734709079826433,0.681857818340633,0.626829618987041,0.895029463209899,0.568102713009148,0.6756527584641,0.842933478481194,0.715644852034485,0.829265381982067,0.862344259494374,0.253184647490356,0.833181571602,0.887314786780096,0.755345002149693,0.843496108188681,0.852445566571997,0.699926042034497,0.877252809845448,0.717706447274818,0.746537661431641,0.676199720917236,0.744209813323493,0.812030912383571,0.903525065464725,0.823591715595518,0.837516897023098,0.756077940095921,0.837896100797592,0.810772079702585,0.753763727185116,0.618059126665061,0.708103102927498
"C0 (Carn)",1.03311071394531,0.974408352035465,0.924902357744482,0.965793283559235,0.993045821380312,0.852883595687645,0.818087788651349,0.939834213017769,0.932203041631134,0.889106001401905,0.907546764604756,0.941841623695309,0.987264248780742,0.919429858124406,0.863829047943458,0.866881221566183,0.917847333280952,0.967449215770526,1.01929192270617,0.956779560531559,0.817995310960328,1.01395451584559,1.08969456258919,0.898793713012175,1.00979131830512,0.956347131161142,0.979499112183496,0.996891719729953,0.969559943464084,0.973269325780831,0.926887585917388,1.13372400986132,1.00074517388407,1.0476492603017,1.00868059875158,0.982458093655255,1.00064593813708,0.884974786363033,0.979768640958719,0.934985535074736,0.767012244854495,0.971085878978767
"Trigonelline",-0.585500945653055,-0.588050671472614,-0.230165748149692,-0.473662075930464,-0.653324336945151,-0.584807715292651,-0.269830825973724,-0.609527932125557,-0.302225329735365,-0.493580065594062,-0.555212004457729,0.0187161558348984,-0.452526538713725,-0.451294699369691,-0.756895961750454,-0.824512301926952,-0.64707054776265,-1.00539234362701,-0.486589912944836,-0.337139753049444,-1.4432011127844,-0.433730338207601,-0.747606325272567,-0.198463646967194,-0.671046138483374,-0.332872855167451,-0.61987609058648,-0.813341209004748,-0.493187191219941,-0.371610942846699,-0.865240510027147,-0.489064033994363,-0.0535637882906849,-0.295335174686732,-0.473882387201949,-0.506836763784318,-0.474767183893186,-0.238576035253185,0.0505320322520283,-0.345325377673369,-1.03808780541182,-0.661934173455171
"C2:0 (Carn)",0.818582665012364,0.822894265994269,0.635468213555718,0.855338890809349,1.00895030774075,0.976941194242172,0.580427407209652,0.824119083924413,0.929934527040897,0.779956710849183,0.706222282778013,0.95269594147024,0.844428258475284,0.644905136179425,0.662920375253612,0.623140579071718,0.667926178579859,0.809519111040035,0.832485968883403,0.533151405373606,0.75734739968945,0.541768467986765,0.96948268304667,0.873272460768138,0.824102208704687,0.743611298990717,1.10326624857209,0.755253829453434,0.794127211796048,0.810345480498843,0.657716378416461,1.1483708047438,0.750956824555432,0.843856929541372,0.853367101300348,0.888292950056488,0.80101303708376,0.700781665595018,0.706805035805838,0.766215662268251,0.468395558600779,0.775744424495268
"2-Picolinic acid",-0.303331633318714,-0.0866122444016139,-0.00629927985892526,-0.322790406257651,-0.351176965708104,-0.127648561826138,0.229492786076883,-0.180894152737787,-0.116449034829362,-0.114510969478986,-0.182099554613663,-0.0203196810304337,-0.237995121437297,-0.104986665576526,-0.0732132171139429,-0.0507320338487863,-0.0914287988458158,-0.167031186376347,-0.228063066907315,-0.00697402300161988,-0.594734665892818,-0.299626061084992,-0.0446070117345274,0.106897146829828,-0.15244059776179,-0.0780180045030605,-0.402678255575726,0.0318695202102899,-0.114294320617551,-0.0540205388153714,-0.213826595354896,-0.142420239395323,-0.167326902817896,0.0450775853825849,0.0784375682634903,-0.377827081866745,-0.0986204773918336,-0.00798556382802108,-0.00708619581302886,-0.14619876820471,-0.0203949459961483,0.00347297057496394
"C3:0  (Carn)",0.0381683553071427,0.0787606142748547,0.13070755564485,0.197533051426482,0.0909158825680787,0.366280336117147,0.134051784881111,0.0571892573851443,-0.0363087546727697,-0.0223781862131066,0.187222266818485,-0.040948790281873,0.116323301730137,0.105235230557315,0.07152993141402,0.127628400372979,0.0725907069838318,-0.751811406479523,0.0372331682810833,-0.122798220225463,-0.330909748644479,-0.163101982655344,0.183814527012495,0.0846707774432767,0.00353573004060185,0.0876068737710692,-0.0415045586577724,-0.0283421185288061,0.0980487869919897,-0.105706191079337,0.1383116330834,0.0237025087119944,-0.670814445870934,0.0763777185259894,0.140956668611009,0.0538448544491227,-0.291033104214651,-0.468859922353472,-0.504434988674232,0.198732768533479,-0.218462074675099,0.196628297522984
"C5-DC (Carn)",-0.47091213069945,-0.452889391616368,-0.432133980759644,-0.488846110236772,-0.491987195050077,-0.575783429334096,-0.624296647633881,-0.431676181090906,-0.429605923670376,-0.574741926992212,-0.431899041315897,-0.347282944285528,-0.303859677082067,-0.71708838451667,-0.304259550221409,-0.343986159327312,-0.400848552045212,-0.122838173367599,-0.493523002110041,-0.274326013357733,-0.495984746839641,-0.56615751696954,0.11278912800303,-0.383405557021569,-0.457380771873847,-0.415021026004456,-0.472149653141782,-0.317742666098516,-0.173728257791537,-0.323439722073051,-0.0534676315915906,-0.460775377785271,-0.424381320050235,-0.443021796642825,-0.353925894937764,-0.577981518251506,-0.527998672206758,-0.559911828566765,-0.3755254912945,-0.527323443770016,-0.298877420015547,-0.425662329223971
"C5-OH (Carn)",-0.460483900873247,-0.527924695868527,-0.20171864809252,-0.432229895711395,-0.671755781861749,-0.708976197856764,-0.512052137492129,-0.380066910730488,-0.58818605658099,-0.487920667675831,-0.546902097271501,-0.567621907734048,-0.58708587229894,-0.573660283707126,-0.589922370137057,-0.495500452321207,-0.640993819377003,-0.669969844910113,-0.598162621844779,-0.493510924718668,-0.71577336903084,-0.557332021094696,-0.0650337949020152,-0.403158532588371,-0.426056637250331,-0.427286493509063,-0.548948080726825,-0.460887022448908,-0.511137311060201,-0.396674216133164,-0.210431370168438,-0.57924319944004,-0.443648672928999,-0.300469855190601,-0.402904852360806,-0.628057804409915,-0.508821547209653,-0.45402059673926,-0.530728672615136,-0.476031788589917,-0.732928244695311,-0.370707127478706
"Kynurenine",-0.0532245121028853,0.113986443735926,0.144241396467127,0.263917272563111,0.107375404137762,0.106463280795358,0.170871958445248,0.0790501222909282,0.115533935024724,0.0958555049432071,0.0814176067872382,0.164502945493094,0.237047467361094,0.207977970587319,0.471279234617758,0.53721288272602,0.273857801000266,0.139594071037903,-0.00397963075144434,0.0687326781374332,-0.266957992532799,-0.00272185344515308,0.344907294018965,0.118118732587422,0.106623402913846,0.0315680817240652,0.0134996014588285,0.277804604328045,0.142525075156243,0.209580899113991,0.472963756367609,-0.0129753335983517,0.0821592007006844,0.176117623387048,0.148462229804501,0.0089289401558766,-0.00359187156353368,0.238131761881156,0.259408657783122,-0.0184150236132027,0.570371171699737,0.584535833856939
"3-Hydroxyanthranilic",1.05983052044174,0.920768452447978,0.824157745007236,0.759672119653313,1.69924989560286,1.14678073478078,1.13043431104688,0.92847715221195,1.17730297712934,0.863354736912253,0.860861909881268,1.27878113806203,1.23598565545638,0.931775541610057,1.00934321290623,0.984714054644429,1.25589862281425,0.986113691392313,1.00624006370909,1.09753343954206,0.634807147438673,0.939763682821351,0.626437012652271,1.06308251535264,1.09160783490682,1.00528896501393,0.804496676576148,1.70727323776075,1.0563267418742,0.880717201678718,0.799939521419426,1.17093337907353,0.998356422768147,1.023595062781,0.97909436227432,0.781381042776506,1.47351378463285,1.20414662582915,1.17214981078401,0.787594094179335,1.04712505721993,0.674216640386144
