"","CSF.1","CSF.2","CSF.3","CSF.4","CSF.5","CSF.6","CSF.7","CSF.8","CSF.9","CSF.10","CSF.11","CSF.12","CSF.13","CSF.14","CSF.15","CSF.16","CSF.17","CSF.18","CSF.19","CSF.20","CSF.21","CSF.22","CSF.23","CSF.24","CSF.25","CSF.26","CSF.27","CSF.28","CSF.29","CSF.30","CSF.31","CSF.32","CSF.33","CSF.34","CSF.35","CSF.36","CSF.37","CSF.38","CSF.39","CSF.40","CSF.41","CSF.42"
"L-Citrulline",8,8,12,9,6,2,7,10,10,10,10,1,4,11,3,3,8,8,8,12,9,2,5,10,10,10,10,1,4,3,3,8,8,12,12,6,10,10,10,10,1,3
"C0 (Carn)",1.0256516631886,0.745746414337321,0.621156319590119,0.640901011278644,0.818606632551269,0.472852255554456,0.404132086696442,0.750754737964265,0.562826456789037,0.62116840927917,0.67551880985388,0.709172486674129,0.711349459353849,0.326252838858505,0.72972319766253,0.859762114964597,0.61619896334159,1.04128450754516,0.938350339684336,0.581558756120218,1.22546065788915,0.820918170124117,0.973553398057417,0.544543802629906,0.824098510182537,0.584422958423718,0.871796293847282,0.694999563838195,0.755026497270377,0.643438051771842,0.722685982601487,1.1071102452041,0.722934306248271,0.650368637830269,0.748750889249691,0.7306781495917,0.685117982648582,0.424351825891176,0.627784746766205,0.573870110639979,0.678004303743761,0.60261681920118
"Trigonelline",0.00247588087585864,0.00186624807523504,0.00657315967427092,0.00216235003514733,0.00189496981006084,0.0017184761736343,0.00505748712448901,0.0020587534121194,0.0047263642231408,0.00273344882250239,0.00269676226572364,0.0261603135268036,0.00285892228436418,0.00139467418966086,0.00151921001585256,0.0016745204078099,0.0015816149873518,0.000979128197501,0.00416561128160077,0.00380382517530913,0.000485705925777417,0.00408643464113999,0.000478794459636975,0.00778356461468419,0.00109600716466105,0.0038424306989559,0.00252569923468627,0.000603094501945369,0.00225261705206535,0.00317748733598713,0.000672211615138543,0.0030030127402793,0.0142168897957082,0.00428382749474034,0.0020884228261439,0.00310515022720254,0.00271719617661631,0.00512761697364531,0.0182720353612676,0.0042598577089129,0.000928019656522724,0.00081475869397312
"C2:0 (Carn)",0.558324840735827,0.467827701130268,0.226351041812374,0.448246589579312,0.854214414357221,0.694447884277983,0.167902601493996,0.530001878461217,0.558825361344901,0.43623165969117,0.357458057225464,0.73127691419605,0.456063858022199,0.117892451892431,0.389633784735445,0.4179220637278,0.271599335775454,0.694519588377366,0.557548738774809,0.128956204896475,1.0698410029207,0.178785060757043,0.676470545255709,0.501658594651899,0.461570545540765,0.284829181826501,1.18388553932429,0.316956319648272,0.428631287999999,0.375385072714886,0.300670580397086,1.1468423277428,0.323841301155661,0.340770414776351,0.455687515968031,0.556067901623352,0.367036358602203,0.221000616869433,0.247823754071482,0.329639590021642,0.267830833974097,0.30842506628825
"2-Picolinic acid",0.00777790948736806,0.0143958014271497,0.0168121219538631,0.00406356253510128,0.00623863617756827,0.0110325519712797,0.0407857685841039,0.0116962701701416,0.0101125662071529,0.0131586855054352,0.0120240613651995,0.022448968722319,0.00686442980001051,0.00575932619567007,0.0239149698167869,0.0353090350061488,0.014652335321414,0.0237874899196738,0.0114692934767996,0.0147499378542367,0.0117573022470721,0.00694398165718897,0.0107420381622921,0.0271827243213109,0.00964446427877604,0.0109789185071507,0.00594016821511665,0.0190686344599199,0.0112164962540682,0.0120064769214272,0.00972379628525922,0.0120160126942995,0.00895803869410568,0.0165792052961818,0.0214506773388937,0.005147551594315,0.0121419917653026,0.0132161990260887,0.0144124400283342,0.00954106493707929,0.0456946905114267,0.0135895957376874
"C3:0  (Carn)",0.0308247995577819,0.0281037927721577,0.0297690927503046,0.0353521186278883,0.0352629077099144,0.079852644381884,0.0274566690642736,0.0304908027455731,0.0140285964805529,0.0192451062239106,0.0519931216013515,0.0207030590407161,0.0289403197585418,0.0135868414194003,0.0425655561928103,0.070322216715925,0.0281319050961916,0.0025767463358856,0.032212244766571,0.0091768525880436,0.0314131139812061,0.0119009519067988,0.0292902302569873,0.0248294383512514,0.0184913866232036,0.0216549929600295,0.0244692403275719,0.0149307396852058,0.027424185762192,0.00967505831569399,0.0406812508563302,0.0232724944558755,0.00115100334143759,0.0187660932214733,0.0278630682095521,0.0277133577374002,0.00565026216169704,0.00198699561606786,0.00183956795686927,0.0381915077415062,0.0215710303963623,0.0305555781109105
"C5-DC (Carn)",0.003942435378823,0.00324015203330311,0.00280949965720891,0.00202926764298029,0.00358147385907059,0.00178283081227591,0.00113681158478288,0.00423681301873964,0.00280312856161516,0.00195104048212279,0.00442282786144079,0.00618591471724082,0.00524685813433331,0.000469071968540625,0.00945443068728066,0.0111837846876114,0.00424817571018325,0.0280999075039792,0.00405382015675962,0.00492498234032468,0.0170028655399767,0.00241940787100068,0.0214642695331642,0.00363566495348174,0.00268752436897206,0.00273764423005784,0.00451930155556061,0.00458540892527439,0.00872436976889313,0.00388855775004148,0.0187069910314014,0.00336343430791041,0.00314515879865488,0.00237739276099568,0.00346852171775408,0.00234933415210992,0.00219752267739082,0.00136544036187012,0.00313954347173677,0.00203587420102622,0.0158715597846104,0.00221656161125735
"C5-OH (Carn)",0.0041128499256367,0.0023854632188787,0.0074080133861853,0.00257152549235852,0.00176200076451957,0.0010361170453009,0.00182423766621091,0.00522294325461076,0.00146203850065589,0.00279846723534791,0.00278821999941468,0.00258558808437524,0.00164938341901159,0.000844565753918893,0.00298429585611402,0.00615171702851176,0.00162067809149618,0.00352051132141013,0.00268834127024268,0.00199862042695322,0.00747246297755829,0.00250544634643625,0.00981678896655025,0.00335150353243912,0.0030649892180348,0.00260248300146728,0.0033399257333231,0.0025533566087522,0.00208738419696689,0.00286048670418276,0.00985971318315463,0.00209210023136603,0.00290755177169664,0.00419706140275094,0.00281969761362276,0.00193043670749072,0.00237217935642875,0.00211224613663888,0.0016494825553579,0.00250697730471841,0.00300247037132075,0.00279718552636831
"Kynurenine",0.0213586219906689,0.0323855992001455,0.0314906050113689,0.0464226304385632,0.0375882178961758,0.0284096276301549,0.0319950360959375,0.0332770653913719,0.0260228006685385,0.0312808623338917,0.0342882222423148,0.046179473566115,0.0470014987941799,0.020634320559122,0.198302314879862,0.314163289413321,0.0620870249247404,0.0747726390708616,0.027459055626432,0.0200969467250652,0.0397903297371013,0.0223577621179177,0.0589276627955771,0.028453113523101,0.0283742076824941,0.0172157744717459,0.0303105293326598,0.0513892027881929,0.0330350637167265,0.0358913307516467,0.152032214606406,0.0201189204074944,0.0246159364801019,0.0278219160869303,0.0287501258363393,0.0232848318880534,0.0176952023529896,0.0360482728201308,0.0429555376974965,0.015983195485166,0.374902939996732,0.148968949248457
"3-Hydroxyanthranilic",1.09668489911227,0.636523917618855,0.446600141626599,0.321264685772032,3.07433185118533,1.09993015323634,1.05035322843801,0.726650619666,1.12121462058223,0.573030943855687,0.587762442386534,1.59522474217787,1.35295280778828,0.340607745034794,1.07723017864557,1.15474779062315,1.46178705624494,1.08797811237928,0.907427125921526,0.879210519812998,0.791902509924629,0.666966282271634,0.19176689217157,0.886228971170206,1.03135537382187,0.679034970088127,0.52914426815106,2.96708113670955,0.967115662596566,0.477595363964872,0.48808099462328,1.2095068233566,0.71792622843907,0.605586143443953,0.684674185908066,0.398001524733919,2.0149261936071,1.08893663008906,1.07889014613294,0.354801720550802,1.34872631156549,0.211014855145203
