C0	Free-carnitine
C10:0	Decanoyl-carnitine
C10:1	Decenoyl-carnitine
C12:0	Dodecanoyl-carnitine
C12:0-OH	Hydroxydodecanoyl-carnitine
C12:1	Dedecenoyl-carnitine
C14:0	 Myristoyl-carnitine
C14:0-OH	Hydrodymyristoyl-carnitine
C14:1	Tetradecenoyl-carnitine
C14:2	Tetradecadienoyl-carnitine
C16:0	Palmitoyl-carnitine
C16:0-OH	Hydroxypalmitoyl-carnitine
C16:1	Hexadecenoyl-carnitine
C18:0	Octadecanoyl-carnitine
C18:1	Octadecenoyl-carnitine
C18:2	Octadecadienoyl-carnitine
C2:0	Acetyl-carnitine
C3:0	Propionyl-carnitine
C4:0	Butyryl-carnitine
C4:0-iso	Isobutyryl-carnitine
C5:0	Valeryl-carnitine
C5:0-iso	Isovaleryl-carnitine
C5-DC	Glutaryl-carnitine
C5-M-DC	Methylglutaryl-carnitine
C5-OH	Hydroxyisovaleryl-carnitine
C6:0	Hexanoyl-carnitine
C8:0	Octanoyl-carnitine
C8:1	Octenoyl-carnitine
