"","variable","var1","var2","cor","statistic","p","method","p.adj","p.adj.signif"
"1","L-Citrulline","Label","value",0.16,3071.60428554812,0.418,"Spearman",0.789555555555555,"ns"
"2","Trigonelline","Label","value",0.17,3049.51341362063,0.4,"Spearman",0.789555555555555,"ns"
"3","2-Picolinic acid","Label","value",-0.28,4674.19663083296,0.15,"Spearman",0.536842105263158,"ns"
"4","Kynurenine","Label","value",-0.55,5668.28586756979,0.00236,"Spearman",0.0534933333333333,"ns"
"5","3-Hydroxyanthranilic acid","Label","value",0.053,3459.19867482127,0.788,"Spearman",0.8850625,"ns"
"6","Tryptophan","Label","value",-0.34,4882.05165305975,0.0804,"Spearman",0.3417,"ns"
"7","Anthranilic acid","Label","value",-0.1,4029.54482276725,0.603,"Spearman",0.8850625,"ns"
"8","5-Hydroxyindole-3-acetic acid","Label","value",-0.63,5972.53742184379,0.000287,"Spearman",0.019516,"*"
"9","N-Acetyl-5-hydroxytryptamine","Label","value",-0.14,4154.05700999489,0.487,"Spearman",0.807707317073171,"ns"
"10","Kynurenic acid","Label","value",-0.5,5488.54650052344,0.00648,"Spearman",0.096288,"ns"
"11","Indole-3-acetic acid","Label","value",-0.23,4490.44074161796,0.241,"Spearman",0.6664,"ns"
"12","Indole-3-propionic acid","Label","value",0.23,2796.47251699671,0.229,"Spearman",0.6664,"ns"
"13","Cortisol","Label","value",-0.19,4359.90377113737,0.325,"Spearman",0.690625,"ns"
"14","Androstenedione","Label","value",0.14,3143.90168458352,0.479,"Spearman",0.807707317073171,"ns"
"15","Testosterone","Label","value",-0.075,3927.12350746709,0.705,"Spearman",0.8850625,"ns"
"16","Progesterone","Label","value",-0.042,3806.62784240808,0.833,"Spearman",0.8850625,"ns"
"17","Pyruvic acid","Label","value",-0.07,3909.04915770824,0.724,"Spearman",0.8850625,"ns"
"18","Lactic acid","Label","value",0.24,2767.35273127411,0.213,"Spearman",0.658363636363636,"ns"
"19","2-Hydroxyisobutyric acid","Label","value",-0.26,4587.84140420733,0.189,"Spearman",0.612,"ns"
"20","Glycolic acid","Label","value",0.21,2897.88970175471,0.291,"Spearman",0.690625,"ns"
"21","Alanine","Label","value",-0.024,3742.36348770994,0.903,"Spearman",0.903,"ns"
"22","2-HydroxyButyric acid","Label","value",-0.043,3811.64849511887,0.827,"Spearman",0.8850625,"ns"
"23","3-hydroxybutyric acid","Label","value",-0.46,5324.87322215161,0.0144,"Spearman",0.1224,"ns"
"24","2-Hydroxyisovaleric acid","Label","value",-0.11,4044.60678089963,0.588,"Spearman",0.8850625,"ns"
"25","3-Hydroxyisovaleric acid","Label","value",-0.077,3934.1524212622,0.698,"Spearman",0.8850625,"ns"
"26","Valine","Label","value",-0.088,3975.32177349069,0.656,"Spearman",0.8850625,"ns"
"27","Urea","Label","value",0.46,1969.06895025817,0.0135,"Spearman",0.1224,"ns"
"28","Ethanolamine","Label","value",0.26,2708.10902928677,0.183,"Spearman",0.612,"ns"
"29","Leucine","Label","value",-0.31,4803.72947077139,0.103,"Spearman",0.412,"ns"
"30","Glycerol","Label","value",0.21,2903.81182497639,0.295,"Spearman",0.690625,"ns"
"31","Isoleucine","Label","value",-0.077,3935.15655180436,0.697,"Spearman",0.8850625,"ns"
"32","Proline","Label","value",-0.15,4212.37299238705,0.438,"Spearman",0.801684210526316,"ns"
"33","Glycine","Label","value",0.05,3470.24411078501,0.799,"Spearman",0.8850625,"ns"
"34","Glyceric acid","Label","value",-0.28,4693.27511113397,0.142,"Spearman",0.536444444444444,"ns"
"35","Uracil","Label","value",-0.025,3745.37587933642,0.899,"Spearman",0.903,"ns"
"36","Serine","Label","value",-0.5,5471.47628130674,0.00708,"Spearman",0.096288,"ns"
"37","Threonine","Label","value",0.087,3335.69061813578,0.659,"Spearman",0.8850625,"ns"
"38","Malic acid","Label","value",-0.59,5796.81457696607,0.00104,"Spearman",0.03536,"*"
"39","d-Threitol","Label","value",0.11,3264.39734964253,0.589,"Spearman",0.8850625,"ns"
"40","Oxoproline","Label","value",-0.047,3824.70219216693,0.813,"Spearman",0.8850625,"ns"
"41","Aspartic acid","Label","value",-0.063,3883.63243872095,0.751,"Spearman",0.8850625,"ns"
"42","4-Hydroxyproline","Label","value",-0.084,3961.26394590048,0.671,"Spearman",0.8850625,"ns"
"43","Threonic acid","Label","value",0.37,2315.49398730282,0.0552,"Spearman",0.251146666666667,"ns"
"44","a-ketoglutaric acid","Label","value",-0.48,5397.17062118702,0.0103,"Spearman",0.116733333333333,"ns"
"45","Glutamic acid","Label","value",-0.064,3888.96654686507,0.745,"Spearman",0.8850625,"ns"
"46","Phenylalanine","Label","value",-0.37,5016.60514570898,0.0507,"Spearman",0.251146666666667,"ns"
"47","d-Xylitol","Label","value",0.048,3479.23345028658,0.809,"Spearman",0.8850625,"ns"
"48","d-Arabitol","Label","value",0.15,3107.75298506582,0.448,"Spearman",0.801684210526316,"ns"
"49","Glycerol-1-phosphate","Label","value",-0.098,4012.47460355056,0.619,"Spearman",0.8850625,"ns"
"50","Glutamine","Label","value",-0.064,3888.96654686507,0.745,"Spearman",0.8850625,"ns"
"51","Xylonic acid","Label","value",0.2,2939.36551654542,0.319,"Spearman",0.690625,"ns"
"52","Ribonic acid","Label","value",0.2,2926.00535693515,0.309,"Spearman",0.690625,"ns"
"53","Hypoxanthine","Label","value",-0.39,5095.93145853949,0.0377,"Spearman",0.213633333333333,"ns"
"54","Ornithine","Label","value",-0.2,4372.95746818543,0.316,"Spearman",0.690625,"ns"
"55","Citric acid","Label","value",0.15,3123.81907374035,0.461,"Spearman",0.803794871794872,"ns"
"56","4-hydroxyphenyllactic acid","Label","value",-0.16,4241.49676357271,0.414,"Spearman",0.789555555555555,"ns"
"57","d-Fructose","Label","value",-0.037,3788.55349264923,0.852,"Spearman",0.887090909090909,"ns"
"58","Mannose","Label","value",-0.045,3818.67740891398,0.82,"Spearman",0.8850625,"ns"
"59","Galactose","Label","value",0.43,2086.5522236907,0.0227,"Spearman",0.15436,"ns"
"60","Glucose","Label","value",0.4,2202.02723603892,0.0363,"Spearman",0.213633333333333,"ns"
"61","d-Mannitol","Label","value",0.11,3247.32713042584,0.573,"Spearman",0.8850625,"ns"
"62","d-Sorbitol","Label","value",-0.23,4483.41182782286,0.245,"Spearman",0.6664,"ns"
"63","d-Galactitol","Label","value",-0.37,4991.50188215502,0.0554,"Spearman",0.251146666666667,"ns"
"64","d-Gluconic acid","Label","value",-0.13,4115.52430800756,0.522,"Spearman",0.845142857142857,"ns"
"65","Saccharic acid","Label","value",-0.035,3781.07468960232,0.861,"Spearman",0.887090909090909,"ns"
"66","myo-Inositol","Label","value",-0.44,5261.61299799563,0.0191,"Spearman",0.144311111111111,"ns"
"67","Uric acid","Label","value",0.19,2970.18710079012,0.34,"Spearman",0.700606060606061,"ns"
"68","Sedoheptulose","Label","value",-0.21,4422.97766711919,0.282,"Spearman",0.690625,"ns"
